"qualifying_code","exclude_if_any"
"054.1","771.2"
"098","098.4"
"098","771.6"
"262","009.0"
"262","010.0"
"262","010.00"
"262","010.01"
"262","010.02"
"262","010.03"
"262","010.04"
"262","010.05"
"262","010.06"
"262","010.07"
"262","010.08"
"262","010.09"
"262","010.1"
"262","010.10"
"262","010.11"
"262","010.12"
"262","010.13"
"262","010.14"
"262","010.15"
"262","010.16"
"262","010.17"
"262","010.18"
"262","010.19"
"262","010.2"
"262","010.20"
"262","010.21"
"262","010.22"
"262","010.23"
"262","010.24"
"262","010.25"
"262","010.26"
"262","010.27"
"262","010.28"
"262","010.29"
"262","010.3"
"262","010.30"
"262","010.31"
"262","010.32"
"262","010.33"
"262","010.34"
"262","010.35"
"262","010.36"
"262","010.37"
"262","010.38"
"262","010.39"
"262","010.4"
"262","010.40"
"262","010.41"
"262","010.42"
"262","010.43"
"262","010.44"
"262","010.45"
"262","010.46"
"262","010.47"
"262","010.48"
"262","010.49"
"262","010.5"
"262","010.50"
"262","010.51"
"262","010.52"
"262","010.53"
"262","010.54"
"262","010.55"
"262","010.56"
"262","010.57"
"262","010.58"
"262","010.59"
"262","010.6"
"262","010.60"
"262","010.61"
"262","010.62"
"262","010.63"
"262","010.64"
"262","010.65"
"262","010.66"
"262","010.67"
"262","010.68"
"262","010.69"
"262","010.7"
"262","010.70"
"262","010.71"
"262","010.72"
"262","010.73"
"262","010.74"
"262","010.75"
"262","010.76"
"262","010.77"
"262","010.78"
"262","010.79"
"262","010.8"
"262","010.80"
"262","010.81"
"262","010.82"
"262","010.83"
"262","010.84"
"262","010.85"
"262","010.86"
"262","010.87"
"262","010.88"
"262","010.89"
"262","010.9"
"262","010.90"
"262","010.91"
"262","010.92"
"262","010.93"
"262","010.94"
"262","010.95"
"262","010.96"
"262","010.97"
"262","010.98"
"262","010.99"
"262","011"
"262","011.0"
"262","011.00"
"262","011.01"
"262","011.02"
"262","011.03"
"262","011.04"
"262","011.05"
"262","011.06"
"262","011.07"
"262","011.08"
"262","011.09"
"262","011.1"
"262","011.10"
"262","011.11"
"262","011.12"
"262","011.13"
"262","011.14"
"262","011.15"
"262","011.16"
"262","011.17"
"262","011.18"
"262","011.19"
"262","011.2"
"262","011.20"
"262","011.21"
"262","011.22"
"262","011.23"
"262","011.24"
"262","011.25"
"262","011.26"
"262","011.27"
"262","011.28"
"262","011.29"
"262","011.3"
"262","011.30"
"262","011.31"
"262","011.32"
"262","011.33"
"262","011.34"
"262","011.35"
"262","011.36"
"262","011.37"
"262","011.38"
"262","011.39"
"262","011.4"
"262","011.40"
"262","011.41"
"262","011.42"
"262","011.43"
"262","011.44"
"262","011.45"
"262","011.46"
"262","011.47"
"262","011.48"
"262","011.49"
"262","011.5"
"262","011.50"
"262","011.51"
"262","011.52"
"262","011.53"
"262","011.54"
"262","011.55"
"262","011.56"
"262","011.57"
"262","011.58"
"262","011.59"
"262","011.6"
"262","011.60"
"262","011.61"
"262","011.62"
"262","011.63"
"262","011.64"
"262","011.65"
"262","011.66"
"262","011.67"
"262","011.68"
"262","011.69"
"262","011.7"
"262","011.70"
"262","011.71"
"262","011.72"
"262","011.73"
"262","011.74"
"262","011.75"
"262","011.76"
"262","011.77"
"262","011.78"
"262","011.79"
"262","011.8"
"262","011.80"
"262","011.81"
"262","011.82"
"262","011.83"
"262","011.84"
"262","011.85"
"262","011.86"
"262","011.87"
"262","011.88"
"262","011.89"
"262","011.9"
"262","011.90"
"262","011.91"
"262","011.92"
"262","011.93"
"262","011.94"
"262","011.95"
"262","011.96"
"262","011.97"
"262","011.98"
"262","011.99"
"262","012"
"262","012.0"
"262","012.00"
"262","012.01"
"262","012.02"
"262","012.03"
"262","012.04"
"262","012.05"
"262","012.06"
"262","012.07"
"262","012.08"
"262","012.09"
"262","012.1"
"262","012.10"
"262","012.11"
"262","012.12"
"262","012.13"
"262","012.14"
"262","012.15"
"262","012.16"
"262","012.17"
"262","012.18"
"262","012.19"
"262","012.2"
"262","012.20"
"262","012.21"
"262","012.22"
"262","012.23"
"262","012.24"
"262","012.25"
"262","012.26"
"262","012.27"
"262","012.28"
"262","012.29"
"262","012.3"
"262","012.30"
"262","012.31"
"262","012.32"
"262","012.33"
"262","012.34"
"262","012.35"
"262","012.36"
"262","012.37"
"262","012.38"
"262","012.39"
"262","012.4"
"262","012.40"
"262","012.41"
"262","012.42"
"262","012.43"
"262","012.44"
"262","012.45"
"262","012.46"
"262","012.47"
"262","012.48"
"262","012.49"
"262","012.5"
"262","012.50"
"262","012.51"
"262","012.52"
"262","012.53"
"262","012.54"
"262","012.55"
"262","012.56"
"262","012.57"
"262","012.58"
"262","012.59"
"262","012.6"
"262","012.60"
"262","012.61"
"262","012.62"
"262","012.63"
"262","012.64"
"262","012.65"
"262","012.66"
"262","012.67"
"262","012.68"
"262","012.69"
"262","012.7"
"262","012.70"
"262","012.71"
"262","012.72"
"262","012.73"
"262","012.74"
"262","012.75"
"262","012.76"
"262","012.77"
"262","012.78"
"262","012.79"
"262","012.8"
"262","012.80"
"262","012.81"
"262","012.82"
"262","012.83"
"262","012.84"
"262","012.85"
"262","012.86"
"262","012.87"
"262","012.88"
"262","012.89"
"262","012.9"
"262","012.90"
"262","012.91"
"262","012.92"
"262","012.93"
"262","012.94"
"262","012.95"
"262","012.96"
"262","012.97"
"262","012.98"
"262","012.99"
"262","013"
"262","013.0"
"262","013.00"
"262","013.01"
"262","013.02"
"262","013.03"
